tickle,This ___ monster is widely known amongst children
tiger,One of the few big cats who like water
tights,Worn by ballerina
time,Flies when your having fun
tiny,"Ants, fairies, and mice"
tired,How you feel at the end of the day
to,Preposition indicating direction or destination
toast,What boy scouts might do with marshmellows
today,What you will call this day
toilet,Dogs might mistake this for their water bowl
tomorrow,The song little orphan Annie sings
tongue,Body part used for party tricks 
tonight,Late today
too,In addition or excessively
tooth,What a fairy would find under a pillow
toothbrush,Used twice a day
touch,Human need that reduces loneliness and anxiety
toy,New parents and pet owners trip all over this
tractor,The farmers car
train,Transportation invented nearly 80 years before cars
trash,What you take out every week on the same day
tree,Change colors with the seasons
truck,Vehicle used to move heavy items
trytryto,Making repeated attempts
turkey,What you eat on thanksgiving
turnaround,When you do when you hear a loud noise behind you
turtle,Water version of the armadillo
tv,Electronic that you might find in every room
uhoh,What you might say if you make a mistake
uncle,Your father's brother
underwear,The first thing you might wear after a shower
up,The opposite of down
vacuum,What you might use to clean up crumbs
vagina,Female genitalia
vitamins,Gummies or pills taken everyday
wait,What you do at the doctors office
wake,What you do every morning
walk,To move your feet one after another
wantto,A desire for action
was,"What ""is"" is changed to when someone passes"
wash,What you do to dirty items
washingmachine,What you might throw your clothes into at the end of the week
watch,Mechanism often passed down by fathers
water,Most abundant thing on Earth's surface
waterhose,Main tool for firefighters
were,The past form of ‘are’
wet,A towel could fix this
weus,Pronoun for a group
what,A verbal doubletake
when,___ in Rome
where,Reply when someone asks to grab lunch
which,What a store owner might ask when a customer points
white,Color of mountain peaks
who,Doctor ___
why,Question a child might constantly ask
will,What someone might leave behind
wind,Might blow you hat off
window,Often broken by baseballs and golf balls
windy,Describing Chicago's nickname
wipe,How you might describe deleting data 
wish,What is typically done at a well or fountain
wolf,Capable of blowing down a straw house
work,What humans spend most of their lives doing
would,"Conditional verb, as in ""___ you kindly?"""
write,Putting pen to paper
yard,American football measurements
yellow,Color of the flower named lion's tooth in French
yes,The opposite of no
yesterday,"____, All my troubles seemed so far away"
yogurt,Something you can eat or drink.
yourself,Who you might see in the mirror
yucky,Children's opinion of veggies
yumyum,Children's opinion of nuggets
zebra,No two of this animal have the same stripes
zipper,Often gets stuck on fabric and threads
